Locale,URL,Page Title,Meta Title,Meta Description
"German (DE)","/","Arbeitszeit Rechner Pro — Arbeitsstunden &amp; Zeiterfassung Online","Arbeitszeit Rechner Pro — Arbeitsstunden &amp; Zeiterfassung Online","Arbeitszeit Rechner Pro: Brutto- und Nettoarbeitszeit, Überstunden und Dezimalstunden kostenlos berechnen. Ohne Anmeldung, werbefrei und mit Pausenregelung nach ArbZG."
"German (DE)","/404.html","Seite nicht gefunden (404) — Arbeitszeit Rechner Pro","Seite nicht gefunden (404) — Arbeitszeit Rechner Pro","Die gesuchte Seite konnte nicht gefunden werden."
"German (DE)","/about","Über uns — Arbeitszeit Rechner Pro","Über uns — Arbeitszeit Rechner Pro","Erfahren Sie mehr über unsere redaktionelle Transparenz und die Experten hinter dem Arbeitszeit Rechner Pro Pro."
"German (DE)","/accessibility","Erklärung zur Barrierefreiheit — Arbeitszeit Rechner Pro","Erklärung zur Barrierefreiheit — Arbeitszeit Rechner Pro","Unsere Erklärung zur Barrierefreiheit gemäß den WCAG 2.2 AA Richtlinien."
"Arabic (AR)","/ar","حاسبة ساعات العمل برو — أدوات حساب وقت العمل والشيفتات","حاسبة ساعات العمل برو — أدوات حساب وقت العمل والشيفتات","احسب صافي ساعات عملك اليومية بعد خصم الاستراحات. مجاني تماماً وبدون إعلانات."
"Arabic (AR)","/ar/about","من نحن — حاسبة ساعات العمل","من نحن — حاسبة ساعات العمل","Erfahren Sie mehr über unsere redaktionelle Transparenz und die Experten hinter dem Arbeitszeit Rechner Pro Pro."
"Arabic (AR)","/ar/accessibility","بيان إمكانية الوصول — حاسبة ساعات العمل","بيان إمكانية الوصول — حاسبة ساعات العمل","Unsere Erklärung zur Barrierefreiheit gemäß den WCAG 2.2 AA Richtlinien."
"Arabic (AR)","/ar/archives","الأرشيف — حاسبة ساعات العمل","الأرشيف — حاسبة ساعات العمل","Entdecken Sie ältere Beiträge und Fachleitfäden in unserem zeitlichen Archiv."
"Arabic (AR)","/ar/authors","خبراؤنا وكتابنا — حاسبة ساعات العمل","خبراؤنا وكتابنا — حاسبة ساعات العمل","Lernen Sie das Expertenteam hinter dem Arbeitszeit Rechner Pro kennen — Juristen, HR-Spezialisten und Fachredakteure."
"Arabic (AR)","/ar/authors/j-doe","John Doe — ملف الكاتب والمقالات","John Doe — ملف الكاتب والمقالات","John Doe ist Experte für Global HR Compliance &amp; Workspace Optimization. Hier finden Sie alle Veröffentlichungen und Beiträge."
